station,level_1,date,actual,forecast
Aotizhongxin,0,2013-03-01,110.09274193548387,
Aotizhongxin,1,2013-04-01,62.75138888888889,
Aotizhongxin,2,2013-05-01,85.39448924731182,
Aotizhongxin,3,2013-06-01,106.20347222222222,
Aotizhongxin,4,2013-07-01,68.91129032258064,
Aotizhongxin,5,2013-08-01,62.28965053763441,
Aotizhongxin,6,2013-09-01,79.32708333333333,
Aotizhongxin,7,2013-10-01,95.28225806451613,
Aotizhongxin,8,2013-11-01,77.28263888888888,
Aotizhongxin,9,2013-12-01,76.72177419354838,
Aotizhongxin,10,2014-01-01,95.37903225806451,
Aotizhongxin,11,2014-02-01,149.55580357142858,
Aotizhongxin,12,2014-03-01,98.93817204301075,
Aotizhongxin,13,2014-04-01,102.76597222222222,
Aotizhongxin,14,2014-05-01,71.40201612903226,
Aotizhongxin,15,2014-06-01,60.00972222222222,
Aotizhongxin,16,2014-07-01,93.21505376344086,
Aotizhongxin,17,2014-08-01,68.12970430107526,
Aotizhongxin,18,2014-09-01,69.97680555555556,
Aotizhongxin,19,2014-10-01,130.43548387096774,
Aotizhongxin,20,2014-11-01,93.80291666666668,
Aotizhongxin,21,2014-12-01,48.10215053763441,
Aotizhongxin,22,2015-01-01,91.04986559139786,
Aotizhongxin,23,2015-02-01,85.18824404761905,
Aotizhongxin,24,2015-03-01,87.53803763440861,
Aotizhongxin,25,2015-04-01,77.26805555555555,
Aotizhongxin,26,2015-05-01,59.19018817204301,
Aotizhongxin,27,2015-06-01,61.88263888888889,
Aotizhongxin,28,2015-07-01,66.29368279569893,
Aotizhongxin,29,2015-08-01,46.73118279569893,
Aotizhongxin,30,2015-09-01,52.47013888888889,
Aotizhongxin,31,2015-10-01,77.81586021505376,
Aotizhongxin,32,2015-11-01,122.78819444444444,
Aotizhongxin,33,2015-12-01,153.67271505376345,
Aotizhongxin,34,2016-01-01,67.66599462365592,
Aotizhongxin,35,2016-02-01,44.70330459770115,
Aotizhongxin,36,2016-03-01,103.17809139784946,
Aotizhongxin,37,2016-04-01,71.10972222222222,
Aotizhongxin,38,2016-05-01,53.36290322580645,
Aotizhongxin,39,2016-06-01,57.298611111111114,
Aotizhongxin,40,2016-07-01,71.14247311827957,
Aotizhongxin,41,2016-08-01,46.25672043010753,
Aotizhongxin,42,2016-09-01,55.826388888888886,
Aotizhongxin,43,2016-10-01,85.3635752688172,
Aotizhongxin,44,2016-11-01,100.30277777777778,
Aotizhongxin,45,2016-12-01,132.32392473118279,
Aotizhongxin,46,2017-01-01,115.56182795698925,
Aotizhongxin,47,2017-02-01,70.92708333333333,
Aotizhongxin,48,2017-03-01,,72.65740796279653
Aotizhongxin,49,2017-04-01,,82.78377974023581
Aotizhongxin,50,2017-05-01,,82.78377974023581
Aotizhongxin,51,2017-06-01,,82.78377974023581
Aotizhongxin,52,2017-07-01,,82.78377974023581
Aotizhongxin,53,2017-08-01,,82.78377974023581
Aotizhongxin,54,2017-09-01,,82.78377974023581
Aotizhongxin,55,2017-10-01,,82.78377974023581
Aotizhongxin,56,2017-11-01,,82.78377974023581
Aotizhongxin,57,2017-12-01,,82.78377974023581
Aotizhongxin,58,2018-01-01,,82.78377974023581
Aotizhongxin,59,2018-02-01,,82.78377974023581
Changping,0,2013-03-01,98.91666666666667,
Changping,1,2013-04-01,59.44444444444444,
Changping,2,2013-05-01,82.98252688172043,
Changping,3,2013-06-01,81.06111111111112,
Changping,4,2013-07-01,61.97715053763441,
Changping,5,2013-08-01,55.350806451612904,
Changping,6,2013-09-01,73.30277777777778,
Changping,7,2013-10-01,82.48924731182795,
Changping,8,2013-11-01,60.77916666666667,
Changping,9,2013-12-01,67.14516129032258,
Changping,10,2014-01-01,88.14717741935483,
Changping,11,2014-02-01,144.25372023809524,
Changping,12,2014-03-01,86.0,
Changping,13,2014-04-01,103.95902777777778,
Changping,14,2014-05-01,53.94569892473118,
Changping,15,2014-06-01,46.04375,
Changping,16,2014-07-01,76.96975806451613,
Changping,17,2014-08-01,56.550134408602155,
Changping,18,2014-09-01,60.41875,
Changping,19,2014-10-01,118.40120967741936,
Changping,20,2014-11-01,76.82694444444445,
Changping,21,2014-12-01,52.256048387096776,
Changping,22,2015-01-01,96.25793010752687,
Changping,23,2015-02-01,86.73660714285714,
Changping,24,2015-03-01,78.03662634408602,
Changping,25,2015-04-01,61.25347222222222,
Changping,26,2015-05-01,54.556451612903224,
Changping,27,2015-06-01,58.05486111111111,
Changping,28,2015-07-01,56.08467741935484,
Changping,29,2015-08-01,38.62096774193548,
Changping,30,2015-09-01,42.927083333333336,
Changping,31,2015-10-01,43.758736559139784,
Changping,32,2015-11-01,90.53958333333334,
Changping,33,2015-12-01,120.16935483870968,
Changping,34,2016-01-01,54.682123655913976,
Changping,35,2016-02-01,38.41954022988506,
Changping,36,2016-03-01,73.0524193548387,
Changping,37,2016-04-01,56.84861111111111,
Changping,38,2016-05-01,50.92352150537634,
Changping,39,2016-06-01,52.90680555555556,
Changping,40,2016-07-01,54.86357526881721,
Changping,41,2016-08-01,36.66599462365591,
Changping,42,2016-09-01,44.55694444444445,
Changping,43,2016-10-01,79.75201612903226,
Changping,44,2016-11-01,85.78611111111111,
Changping,45,2016-12-01,109.81922043010752,
Changping,46,2017-01-01,98.30779569892474,
Changping,47,2017-02-01,59.31547619047619,
Changping,48,2017-03-01,,63.75203448047028
Changping,49,2017-04-01,,71.1999431452362
Changping,50,2017-05-01,,71.1999431452362
Changping,51,2017-06-01,,71.1999431452362
Changping,52,2017-07-01,,71.1999431452362
Changping,53,2017-08-01,,71.1999431452362
Changping,54,2017-09-01,,71.1999431452362
Changping,55,2017-10-01,,71.1999431452362
Changping,56,2017-11-01,,71.1999431452362
Changping,57,2017-12-01,,71.1999431452362
Changping,58,2018-01-01,,71.1999431452362
Changping,59,2018-02-01,,71.1999431452362
Dingling,0,2013-03-01,95.70564516129032,
Dingling,1,2013-04-01,55.7,
Dingling,2,2013-05-01,70.63373655913979,
Dingling,3,2013-06-01,86.34232456140352,
Dingling,4,2013-07-01,57.91334182229768,
Dingling,5,2013-08-01,49.791666666666664,
Dingling,6,2013-09-01,63.535037878787875,
Dingling,7,2013-10-01,72.97146871945259,
Dingling,8,2013-11-01,47.30694444444445,
Dingling,9,2013-12-01,51.854166666666664,
Dingling,10,2014-01-01,73.08400537634408,
Dingling,11,2014-02-01,158.68824404761904,
Dingling,12,2014-03-01,83.51478494623656,
Dingling,13,2014-04-01,90.14027777777778,
Dingling,14,2014-05-01,48.0925219941349,
Dingling,15,2014-06-01,39.63453282828283,
Dingling,16,2014-07-01,79.5845430107527,
Dingling,17,2014-08-01,51.40712365591398,
Dingling,18,2014-09-01,54.02583333333333,
Dingling,19,2014-10-01,116.91465053763442,
Dingling,20,2014-11-01,71.24555555555555,
Dingling,21,2014-12-01,47.88754480286739,
Dingling,22,2015-01-01,84.92213261648746,
Dingling,23,2015-02-01,81.00744047619048,
Dingling,24,2015-03-01,75.05604838709677,
Dingling,25,2015-04-01,56.34138888888889,
Dingling,26,2015-05-01,45.88911290322581,
Dingling,27,2015-06-01,51.02888888888889,
Dingling,28,2015-07-01,49.486559139784944,
Dingling,29,2015-08-01,35.079301075268816,
Dingling,30,2015-09-01,37.770833333333336,
Dingling,31,2015-10-01,52.47715053763441,
Dingling,32,2015-11-01,85.22638888888889,
Dingling,33,2015-12-01,118.69153225806451,
Dingling,34,2016-01-01,53.200940860215056,
Dingling,35,2016-02-01,35.36206896551724,
Dingling,36,2016-03-01,82.6633064516129,
Dingling,37,2016-04-01,60.83541666666667,
Dingling,38,2016-05-01,52.60215053763441,
Dingling,39,2016-06-01,49.05555555555556,
Dingling,40,2016-07-01,57.368951612903224,
Dingling,41,2016-08-01,37.19018817204301,
Dingling,42,2016-09-01,42.233333333333334,
Dingling,43,2016-10-01,97.02486559139786,
Dingling,44,2016-11-01,75.79722222222222,
Dingling,45,2016-12-01,94.77217741935483,
Dingling,46,2017-01-01,81.66666666666667,
Dingling,47,2017-02-01,53.46279761904762,
Dingling,48,2017-03-01,,62.40989125060248
Dingling,49,2017-04-01,,67.02324717025489
Dingling,50,2017-05-01,,67.02324717025489
Dingling,51,2017-06-01,,67.02324717025489
Dingling,52,2017-07-01,,67.02324717025489
Dingling,53,2017-08-01,,67.02324717025489
Dingling,54,2017-09-01,,67.02324717025489
Dingling,55,2017-10-01,,67.02324717025489
Dingling,56,2017-11-01,,67.02324717025489
Dingling,57,2017-12-01,,67.02324717025489
Dingling,58,2018-01-01,,67.02324717025489
Dingling,59,2018-02-01,,67.02324717025489
Dongsi,0,2013-03-01,108.41397849462365,
Dongsi,1,2013-04-01,65.28055555555555,
Dongsi,2,2013-05-01,91.39247311827957,
Dongsi,3,2013-06-01,109.45277777777778,
Dongsi,4,2013-07-01,72.96774193548387,
Dongsi,5,2013-08-01,63.98924731182796,
Dongsi,6,2013-09-01,85.27083333333333,
Dongsi,7,2013-10-01,102.6149193548387,
Dongsi,8,2013-11-01,82.94166666666666,
Dongsi,9,2013-12-01,85.68145161290323,
Dongsi,10,2014-01-01,104.1377688172043,
Dongsi,11,2014-02-01,154.6547619047619,
Dongsi,12,2014-03-01,99.87096774193549,
Dongsi,13,2014-04-01,89.88125,
Dongsi,14,2014-05-01,63.65443548387097,
Dongsi,15,2014-06-01,57.704166666666666,
Dongsi,16,2014-07-01,98.8736559139785,
Dongsi,17,2014-08-01,69.45860215053763,
Dongsi,18,2014-09-01,67.66444444444444,
Dongsi,19,2014-10-01,116.89314516129032,
Dongsi,20,2014-11-01,81.74805555555555,
Dongsi,21,2014-12-01,55.891263440860214,
Dongsi,22,2015-01-01,101.0108870967742,
Dongsi,23,2015-02-01,108.99627976190476,
Dongsi,24,2015-03-01,93.3440188172043,
Dongsi,25,2015-04-01,77.17430555555555,
Dongsi,26,2015-05-01,60.3125,
Dongsi,27,2015-06-01,66.44027777777778,
Dongsi,28,2015-07-01,69.10282258064517,
Dongsi,29,2015-08-01,49.578629032258064,
Dongsi,30,2015-09-01,54.420833333333334,
Dongsi,31,2015-10-01,80.07930107526882,
Dongsi,32,2015-11-01,125.1375,
Dongsi,33,2015-12-01,161.24529569892474,
Dongsi,34,2016-01-01,69.35349462365592,
Dongsi,35,2016-02-01,43.17097701149425,
Dongsi,36,2016-03-01,98.70766129032258,
Dongsi,37,2016-04-01,77.04097222222222,
Dongsi,38,2016-05-01,63.41263440860215,
Dongsi,39,2016-06-01,66.01666666666667,
Dongsi,40,2016-07-01,80.51814516129032,
Dongsi,41,2016-08-01,50.9744623655914,
Dongsi,42,2016-09-01,60.239583333333336,
Dongsi,43,2016-10-01,92.07728494623656,
Dongsi,44,2016-11-01,108.28680555555556,
Dongsi,45,2016-12-01,149.68548387096774,
Dongsi,46,2017-01-01,126.86559139784946,
Dongsi,47,2017-02-01,74.93526785714286,
Dongsi,48,2017-03-01,,72.18342518101285
Dongsi,49,2017-04-01,,81.14920456639716
Dongsi,50,2017-05-01,,82.16660118824024
Dongsi,51,2017-06-01,,82.9009579183202
Dongsi,52,2017-07-01,,83.43101649669136
Dongsi,53,2017-08-01,,83.81361269959434
Dongsi,54,2017-09-01,,84.08977058185256
Dongsi,55,2017-10-01,,84.289101300126
Dongsi,56,2017-11-01,,84.43297818288053
Dongsi,57,2017-12-01,,84.53682849541875
Dongsi,58,2018-01-01,,84.61178763553775
Dongsi,59,2018-02-01,,84.66589313170864
Guanyuan,0,2013-03-01,102.71908602150538,
Guanyuan,1,2013-04-01,59.33263888888889,
Guanyuan,2,2013-05-01,80.55779569892474,
Guanyuan,3,2013-06-01,107.01527777777778,
Guanyuan,4,2013-07-01,65.99260752688173,
Guanyuan,5,2013-08-01,61.564516129032256,
Guanyuan,6,2013-09-01,80.00625,
Guanyuan,7,2013-10-01,96.49059139784946,
Guanyuan,8,2013-11-01,79.46388888888889,
Guanyuan,9,2013-12-01,83.3508064516129,
Guanyuan,10,2014-01-01,100.87231182795699,
Guanyuan,11,2014-02-01,150.15699404761904,
Guanyuan,12,2014-03-01,94.81989247311827,
Guanyuan,13,2014-04-01,89.99375,
Guanyuan,14,2014-05-01,63.34314516129032,
Guanyuan,15,2014-06-01,59.579861111111114,
Guanyuan,16,2014-07-01,85.88978494623656,
Guanyuan,17,2014-08-01,72.0633064516129,
Guanyuan,18,2014-09-01,70.28013888888889,
Guanyuan,19,2014-10-01,129.62432795698925,
Guanyuan,20,2014-11-01,89.37180555555555,
Guanyuan,21,2014-12-01,60.8494623655914,
Guanyuan,22,2015-01-01,94.84032258064516,
Guanyuan,23,2015-02-01,93.1264880952381,
Guanyuan,24,2015-03-01,85.12123655913977,
Guanyuan,25,2015-04-01,72.56180555555555,
Guanyuan,26,2015-05-01,54.707661290322584,
Guanyuan,27,2015-06-01,62.422222222222224,
Guanyuan,28,2015-07-01,67.38104838709677,
Guanyuan,29,2015-08-01,51.20564516129032,
Guanyuan,30,2015-09-01,53.31527777777778,
Guanyuan,31,2015-10-01,75.25403225806451,
Guanyuan,32,2015-11-01,120.8236111111111,
Guanyuan,33,2015-12-01,155.24126344086022,
Guanyuan,34,2016-01-01,67.23521505376344,
Guanyuan,35,2016-02-01,41.0323275862069,
Guanyuan,36,2016-03-01,95.07661290322581,
Guanyuan,37,2016-04-01,73.27291666666666,
Guanyuan,38,2016-05-01,56.946236559139784,
Guanyuan,39,2016-06-01,66.20208333333333,
Guanyuan,40,2016-07-01,80.11895161290323,
Guanyuan,41,2016-08-01,48.990591397849464,
Guanyuan,42,2016-09-01,57.24861111111111,
Guanyuan,43,2016-10-01,87.02956989247312,
Guanyuan,44,2016-11-01,107.03125,
Guanyuan,45,2016-12-01,142.92271505376345,
Guanyuan,46,2017-01-01,116.23387096774194,
Guanyuan,47,2017-02-01,71.57291666666667,
Guanyuan,48,2017-03-01,,72.55488994721122
Guanyuan,49,2017-04-01,,80.33573008999305
Guanyuan,50,2017-05-01,,80.74580218079652
Guanyuan,51,2017-06-01,,81.05407758849837
Guanyuan,52,2017-07-01,,81.28582641785066
Guanyuan,53,2017-08-01,,81.46004569893616
Guanyuan,54,2017-09-01,,81.5910166211487
Guanyuan,55,2017-10-01,,81.68947519793956
Guanyuan,56,2017-11-01,,81.76349232464153
Guanyuan,57,2017-12-01,,81.81913536990771
Guanyuan,58,2018-01-01,,81.86096553306656
Guanyuan,59,2018-02-01,,81.8924117370176
Gucheng,0,2013-03-01,108.84139784946237,
Gucheng,1,2013-04-01,65.07291666666667,
Gucheng,2,2013-05-01,82.61021505376344,
Gucheng,3,2013-06-01,103.26527777777778,
Gucheng,4,2013-07-01,61.69086021505376,
Gucheng,5,2013-08-01,58.63306451612903,
Gucheng,6,2013-09-01,80.39722222222223,
Gucheng,7,2013-10-01,95.9502688172043,
Gucheng,8,2013-11-01,77.21805555555555,
Gucheng,9,2013-12-01,81.3024193548387,
Gucheng,10,2014-01-01,105.77755376344086,
Gucheng,11,2014-02-01,155.27232142857142,
Gucheng,12,2014-03-01,99.48185483870968,
Gucheng,13,2014-04-01,101.21944444444445,
Gucheng,14,2014-05-01,69.90241935483871,
Gucheng,15,2014-06-01,56.94166666666667,
Gucheng,16,2014-07-01,90.59341397849462,
Gucheng,17,2014-08-01,65.3358870967742,
Gucheng,18,2014-09-01,72.10097222222223,
Gucheng,19,2014-10-01,124.53494623655914,
Gucheng,20,2014-11-01,90.15597222222223,
Gucheng,21,2014-12-01,60.188844086021504,
Gucheng,22,2015-01-01,95.42620967741937,
Gucheng,23,2015-02-01,95.34375,
Gucheng,24,2015-03-01,88.17399193548387,
Gucheng,25,2015-04-01,71.93055555555556,
Gucheng,26,2015-05-01,58.07392473118279,
Gucheng,27,2015-06-01,63.02013888888889,
Gucheng,28,2015-07-01,61.56518817204301,
Gucheng,29,2015-08-01,46.383736559139784,
Gucheng,30,2015-09-01,49.92916666666667,
Gucheng,31,2015-10-01,77.63575268817205,
Gucheng,32,2015-11-01,131.99791666666667,
Gucheng,33,2015-12-01,165.2923387096774,
Gucheng,34,2016-01-01,76.36088709677419,
Gucheng,35,2016-02-01,43.74568965517241,
Gucheng,36,2016-03-01,98.71034946236558,
Gucheng,37,2016-04-01,72.11111111111111,
Gucheng,38,2016-05-01,59.448476702508955,
Gucheng,39,2016-06-01,64.60462962962963,
Gucheng,40,2016-07-01,70.34946236559139,
Gucheng,41,2016-08-01,48.27150537634409,
Gucheng,42,2016-09-01,60.77013888888889,
Gucheng,43,2016-10-01,93.1760752688172,
Gucheng,44,2016-11-01,105.3013888888889,
Gucheng,45,2016-12-01,134.0013440860215,
Gucheng,46,2017-01-01,126.54905913978494,
Gucheng,47,2017-02-01,72.65029761904762,
Gucheng,48,2017-03-01,,69.46645096158272
Gucheng,49,2017-04-01,,84.19876923254975
Gucheng,50,2017-05-01,,84.19876923254975
Gucheng,51,2017-06-01,,84.19876923254975
Gucheng,52,2017-07-01,,84.19876923254975
Gucheng,53,2017-08-01,,84.19876923254975
Gucheng,54,2017-09-01,,84.19876923254975
Gucheng,55,2017-10-01,,84.19876923254975
Gucheng,56,2017-11-01,,84.19876923254975
Gucheng,57,2017-12-01,,84.19876923254975
Gucheng,58,2018-01-01,,84.19876923254975
